Updated,Country,Cases,Today Cases,Deaths,Today Deaths,Total Recovered,Today Recovered,Active,Critical,Tests,Population,Continent
1706090159644,New Zealand,2569056,0,5427,0,2558342,0,5287,0,7768604,4898203,Australia-Oceania
1706090159808,Nicaragua,18491,0,225,0,4225,0,14041,0,0,6779100,North America
1706090159825,Niger,9931,0,312,0,8890,0,729,1,254538,26083660,Africa
1706090159720,Nigeria,267173,0,3155,0,259953,0,4065,11,5708974,216746934,Africa
1706090159849,Niue,1040,0,0,0,1037,0,3,0,0,1622,Australia-Oceania
1706090159655,Norway,1508982,0,5732,0,1502053,0,1197,0,11002430,5511370,Europe
1706090159709,Oman,399449,0,4628,0,0,0,394821,0,25000000,5323993,Asia
1706090159653,Pakistan,1581936,0,30664,0,1538689,0,12583,0,30589153,229488994,Asia
1706090159838,Palau,6270,0,10,0,6258,0,2,0,71181,18233,Australia-Oceania
1706090159697,Palestine,621008,0,5404,0,615445,0,159,0,3078533,5345541,Asia
1706090159677,Panama,1055998,0,8688,0,1044922,0,2388,16,7847296,4446964,North America
1706090159771,Papua New Guinea,46864,0,670,0,46168,0,26,0,249149,9292169,Australia-Oceania
1706090159687,Paraguay,824940,0,20094,0,0,0,804846,0,2657506,7305843,South America
1706090159631,Peru,4536733,0,222161,0,4314572,0,0,4,39010194,33684208,South America
1706090159633,Philippines,4140383,0,66864,0,4067381,0,6138,0,36102746,112508994,Asia
1706090159611,Poland,6650782,0,120439,0,0,0,6530343,0,39169680,37739785,Europe
1706090159617,Portugal,5640496,0,27976,0,5610307,0,2213,61,46139518,10140570,Europe
1706090159701,Qatar,514524,0,690,0,513687,0,147,16,4065369,2979915,Asia
1706090159636,Romania,3519340,0,68806,0,3443563,0,6971,37,28530054,19031335,Europe
1706090159588,Russia,23851450,0,401834,0,23268040,0,181576,0,273400000,145805947,Europe
1706090159741,Rwanda,133518,0,1468,0,132039,0,11,0,6021981,13600464,Africa
1706090159704,Réunion,494595,0,921,0,0,0,493674,0,1603660,908061,Africa
1706090159583,S. Korea,34571873,0,35934,0,34535939,0,0,0,15804065,51329899,Asia
1706090159846,Saint Helena,2166,0,0,0,2,0,2164,0,0,6115,Africa
1706090159837,Saint Kitts and Nevis,6607,0,48,0,6559,0,0,0,126958,53871,North America
1706090159789,Saint Lucia,30209,0,410,0,29799,0,0,0,210983,185113,North America
1706090159818,Saint Martin,12324,0,63,0,0,0,12261,0,112382,39730,North America
1706090159844,Saint Pierre Miquelon,3452,0,2,0,2449,0,1001,0,25400,5759,North America
1706090159826,Saint Vincent and the Grenadines,9674,0,124,0,9493,0,57,0,114197,111551,North America
1706090159812,Samoa,17006,0,31,0,1605,0,15370,0,187397,202239,Australia-Oceania
1706090159794,San Marino,26185,0,128,0,26011,0,46,0,196855,34085,Europe
1706090159835,Sao Tome and Principe,6750,0,80,0,6667,0,3,0,29600,227679,Africa
1706090159684,Saudi Arabia,841469,0,9646,0,0,0,831823,0,45481735,35844909,Asia
1706090159750,Senegal,89053,0,1971,0,87024,0,58,0,1146543,17653671,Africa
1706090159642,Serbia,2612206,0,18057,0,2591907,0,2242,0,13381078,8653016,Europe
1706090159768,Seychelles,51220,0,172,0,51048,0,0,0,0,99426,Africa
1706090159831,Sierra Leone,7779,0,126,0,0,0,7653,0,259958,8306436,Africa
1706090159638,Singapore,2977715,0,1933,0,2957926,2828,17856,13,24756666,5943546,Asia
1706090159823,Sint Maarten,11051,0,92,0,10905,0,54,0,62056,43966,North America
1706090159648,Slovakia,1875864,0,21205,0,1854659,0,0,23,7448789,5460193,Europe
1706090159659,Slovenia,1355918,0,7100,0,1348399,0,419,0,2847701,2078034,Europe
1706090159795,Solomon Islands,25954,0,199,0,0,0,25755,0,0,721159,Australia-Oceania
1706090159792,Somalia,27334,0,1361,0,13182,0,12791,0,400466,16841795,Africa
